"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
MALS,Agriculture Licensing System,"Ministry of Agriculture Licencing System (MALS) is a licensing program for the Ministry of Agriculture which is applied in the following areas:
	Dairy Farms
	Bulk Tank Milk Graders (BTMGs sample, evaluate and transport raw milk) from farm bulk tanks for holding raw milk at correct temperature.
	Fur Farms
	Game Farms
	Livestock Dealers
	Veterinary Drug Outlets and veterinary drug dispensers
	Public Sale Yards
	Poultry purchasing
	Apiculture

MALS2 went live on Jan 5th, 2022. This rebuild is an OpenShift application so hosted on completely different infrastructure, see MALS2 entry in IRS for details.  The existing MALS application was initially left active to ensure the dairy data load functionality was accurate. However, the original MALS is still active as some data did not fully transfer to MALS2 and some reports required to be created by the system are still not functioning. As funds are now available it is hoped that this will be rectified by the end of 22/23 fiscal. 
Once these issues are fixed in MALS2, MALS will be retired.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=c89c0763b7e54d4cbaf197d5672f9f07,Ministry of Agriculture and Food,"Science, Policy and Inspection Division",Plant and Animal Health Branch,Livestock Health Management and Regulatory Unit,STD
MALS2,Ministry of Agriculture Licensing System,"MALS2 replaced MALS January 2022 - MALS still active and in use.

MALS was created with the intent of being a single licensing application, replacing various disparate Animal Industry Branch licensing applications. it provides a number of administrative functions related to licensing, including issuing and renewing licenses, performing inspections, managing issues and inventory, etc. The MALS is a licensing program for the Ministry of Agriculture which is applied in the following areas:

Dairy Farms;
Bulk Tank Milk Graders (BTMGs sample, evaluate and transport raw milk) from farm bulk tanks for holding raw milk at correct temperature;
Fur Farms;
Game Farms;
Livestock Dealers;
Veterinary Drug Outlets and veterinary drug dispensers;
Public Sale Yards;
Poultry purchasing; and
Apiculture

MALS2 done in OpenShift environment using the following technologies:

IRS has been updated with necessary information. 
	React
	React/Redux
	Express.js
	Node.js
	PostgreSQL (v13)
	Keycloak
	OpenShift Container version 4
	REST API Services
	All source code is in Git/GitHUB.

SEE CONFLUENCE FOR ALL URLS
https://apps.nrs.gov.bc.ca/int/confluence/display/MALS2/URLs+MALS2
",,Ministry of Agriculture and Food,"Science, Policy and Inspection Division",Plant and Animal Health Branch,Livestock Health Management and Regulatory Unit,PAAS
MANLEV,Management Levels,"(TO BE RETIRED) TO BE REPLACED BY PLUS.   Application to help manage each protected as a unique component of a cohesive system- capturing management targets and gaps in the protected areas.

THIS DATA HAS BEEN TRANSFERRED FROM THE VAX TO ORACLE. ITS FUTURE USEFULNESS HAS NOT BEEN DETERMINED. DO NOT ACCESS THIS DATA USING VAX/VMS.",,Ministry of Environment and Climate Change Strategy,Conservation and Recreation,Provincial Services,Planning and Land Administration,DS
MAPPLACE,MapPlace2,"Since 1995, MapPlace, the BCGS database-driven geospatial web service, has provided public geoscience data and custom map-making tools to help decision makers from diverse disciplines access, analyze and download information.

MapPlace 2 is a suite of geospatial web services to visualize and analyse geoscience and mineral resource data and maps in the province of British Columbia, with applications to search, report, and download data.

MapPlace 2 consists of a backend application database in PostgreSQL/PostGIS, and a frontend by MapGuide Open Source, and custom applications in ASP.NET. 

Entirely developed and maintained by the BC Geological Survey Staff since 2012 and has been online to the public since 2014.",,"Ministry of Energy, Mines and Low Carbon Innovation",Responsible Mining and Competitiveness Division,BC Geological Survey Branch,Resource Information Section,STD
MAPPLACE1,MapPlace1,"MapPlace1 is the original web service that allows clients to browse, visualize, and analyze multidisciplinary geoscience data. This service is scheduled to be retired in the near future. MapPlace2 is now available and has the most up to date data available.

MapPlace1 has not been actively maintianed since 2017.",,"Ministry of Energy, Mines and Low Carbon Innovation",Responsible Mining and Competitiveness Division,BC Geological Survey Branch,Resource Information Section,STD
MAPSERVE,mapserve - RETIRED,"[ If this field is blank IRS will crash ]

Historically belonging to: UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
MAPVIEW,MapView for the Web,"[LOB Data] see https://catalogue.data.gov.bc.ca/dataset/forest-mapview Forest MapView is a web mapping tool that allows any user with a BCeID or IDIR account to view data and do basic analysis and map mark-up. Datasets and tools are focused on forestry data and activities. Please direct access requests to the NRS Service Desk.
Sept 2021: MapView hosted by DataBC

 


",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,NR Sector Digital Services,Architecture & Business Strategy,STD
MAPVUNIX,MapView for the Web - RETIRED,See MAPVIEW,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,NR Sector Digital Services,Architecture & Business Strategy,STD
MASCOT,MASCOT Geodetic Database,Management of Survey Control Operations and Tasks (MASCOT) - The MASCOT data is updated on a frequent basis as new Monuments are entered on a daily basis. Additional spatial accuracy and reports for Monuments is available through the selection tool.,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=f411aed4bf8e493baee803c174924571,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
MASCOT (THEME),Management of Survey Control and Operational Tasks - RETIRED,"Theme - This IMF site displays the spatial data collected from MASCOT database. The MASCOT data is updated on a frequent basis as new Monuments are entered on a daily basis. Additional spatial accuracy and reports for Monuments is availible through the selection tool.
confirmed retired - Nicole de greef july 2017
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
MASCOTW,Mascot Web,"Mascot - Web Component
Currently using JavaEE.
Formerly a GCI application
C language, not Pro*C",None - uses flat files,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
MASCOT_IMF,MASCOT_IMF - RETIREMENT IN PROGRESS,Mascot IMF interface,,"Ministry of Water, Land and Resource Stewardship",UNKNOWN,UNKNOWN,UNKNOWN,STD
MAXAGRI,Maximizer Fed/Prov Agriculture Version 11 - RETIRED,"Maximizer is a content management COTS application that tracks Agriculture data gathered by both the Federal Department of Agriculture and AgriFoods Canada and the Provincial Ministry of Agriculture. A common SQL Server database is used to store the data and is r/w accessible by both agencies. 

The application and database are hosted by the province. 

Another version of Maximizer is used by the Provincial Ministry of Agriculture in Kelowna, but it is a different and distinct deployment and the two are not related. [COTS]


Historically belonging to: Ministry of Agriculture, Food and Fisheries, Business Development Division, Innovation and Adaptation Services Branch, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,COTS
MAXIMIZER,Maximizer  Version 9.5 - RETIRED,"2 SEPARATE INSTALLS/USER GROUPS
Maximizer is a COTS client relationship management/tracking (CRM) tool.
1) Brenda Lennox administrator, used  by MAL and Agriculture and Agri-Food Canada (AAFC) with a combined total of approximately 27 active users. The address books captures information about companies dealing with agri-food: products/brands used, licensing, location, as well as customer relationship notes for use by various internal departments.

2) Pete Jones, administrator. Used by the BRM branch in Kelowna in the managment of customer contacts for the Agristability program.  Approximately 40 users.



June 18, 2013 - This version is no longer being used.  Victoria staff uses Maximizer 11; and the Kelowna office have stopped using version 9.5.  The data had been migrated to BARN.


Historically belonging to: Ministry of Agriculture, Food and Fisheries, Business Development Division, Innovation and Adaptation Services Branch, UNKNOWN",See notes.,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,COTS
